filter_str,denamed,queryLength,whereDetected,regexDetected,logicOperator,MathOperator,Size,thisPointer,matcherOption,cpuNanos,planningTimeMicros,label
"{'user': {'$size': 8}, 'password': '123456'}","{'': {'$size': 'name'}, '': ''}",44,0,0,0,1,1,0,0,181841,116.0,1.0
"{'user': {'$size': 10}, 'password': '12345678'}","{'': {'$size': 'name'}, '': ''}",47,0,0,0,1,1,0,0,128822,73.0,1.0
"{'user': {'$gt': 'admin'}, 'password': 'maliciouspassword'}","{'': {'$gt': ''}, '': ''}",59,0,0,1,0,0,0,0,179958,116.0,1.0
"{'user': {'$gt': 'admin'}, 'password': 'maliciouspassword'}","{'': {'$gt': ''}, '': ''}",59,0,0,1,0,0,0,0,179958,116.0,1.0
"{'user': {'$gt': 'user'}, 'password': 'maliciouspassword'}","{'': {'$gt': ''}, '': ''}",58,0,0,1,0,0,0,0,88637,57.0,1.0
"{'user': 'malicious34', 'password': {'$ne': 'maliciouspassword'}}","{'': '', '': {'$ne': ''}}",65,0,0,1,0,0,0,0,112591,64.0,1.0
"{'user': 'malicious35', 'password': {'$ne': 'maliciouspassword'}}","{'': '', '': {'$ne': ''}}",65,0,0,1,0,0,0,0,85611,52.0,1.0
"{'user': {'$in': ['admin', 'root', 'malicious36', 'hacker', 'test', 'guest']}, 'password': 'password123'}","{'': {'$in': ['', '', '', '', '', '']}, '': ''}",105,0,0,1,0,0,0,0,82515,49.0,1.0
"{'user': {'$in': ['user', 'admin', 'guest', 'test', 'hacker', 'malicious37']}, 'password': 'admin123'}","{'': {'$in': ['', '', '', '', '', '']}, '': ''}",102,0,0,1,0,0,0,0,78217,46.0,1.0
"{'user': {'$size': 11}, 'password': 'benignpassword'}","{'': {'$size': 'name'}, '': ''}",53,0,0,0,1,1,0,0,73809,44.0,0.0
"{'user': {'$size': 12}, 'password': 'benignpassword'}","{'': {'$size': 'name'}, '': ''}",53,0,0,0,1,1,0,0,72386,43.0,0.0
"{'user': {'$gt': 'user'}, 'password': 'benignpassword'}","{'': {'$gt': ''}, '': ''}",55,0,0,1,0,0,0,0,69190,39.0,0.0
"{'user': {'$gt': 'user'}, 'password': 'benignpassword'}","{'': {'$gt': ''}, '': ''}",55,0,0,1,0,0,0,0,69190,39.0,0.0
"{'user': {'$gt': 'guest'}, 'password': 'benignpassword'}","{'': {'$gt': ''}, '': ''}",56,0,0,1,0,0,0,0,76183,45.0,0.0
"{'user': 'benign34', 'password': {'$ne': 'benignpassword'}}","{'': '', '': {'$ne': ''}}",59,0,0,1,0,0,0,0,103074,60.0,0.0
"{'user': 'benign35', 'password': {'$ne': 'benignpassword'}}","{'': '', '': {'$ne': ''}}",59,0,0,1,0,0,0,0,93816,55.0,0.0
"{'user': {'$in': ['admin', 'root', 'benign36', 'hacker', 'test', 'guest']}, 'password': 'benignpassword'}","{'': {'$in': ['', '', '', '', '', '']}, '': ''}",105,0,0,1,0,0,0,0,84759,52.0,0.0
"{'user': {'$in': ['user', 'admin', 'guest', 'test', 'hacker', 'Admin123']}, 'password': 'benignpassword'}","{'': {'$in': ['', '', '', '', '', '']}, '': ''}",105,0,0,1,0,0,0,0,93516,57.0,0.0
